"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2024 eerste helft*"
"Barneveld";"Productie van zonnestroom";"mln kWh";"."
"Beek (L.)";"Installaties";"aantal";"3897"
"Beek (L.)";"Opgesteld vermogen van zonnepanelen";"kWp";"22232"
"Beek (L.)";"Opgesteld vermogen omvormers";"kW";"20488"
"Beek (L.)";"Productie van zonnestroom";"mln kWh";"."
"Beekdaelen";"Installaties";"aantal";"8639"
"Beekdaelen";"Opgesteld vermogen van zonnepanelen";"kWp";"51285"
"Beekdaelen";"Opgesteld vermogen omvormers";"kW";"46971"
"Beekdaelen";"Productie van zonnestroom";"mln kWh";"."
"Beemster";"Installaties";"aantal";""
"Beemster";"Opgesteld vermogen van zonnepanelen";"kWp";""
"Beemster";"Opgesteld vermogen omvormers";"kW";""
"Beemster";"Productie van zonnestroom";"mln kWh";""
"Beesel";"Installaties";"aantal";"3260"
"Beesel";"Opgesteld vermogen van zonnepanelen";"kWp";"34910"
"Beesel";"Opgesteld vermogen omvormers";"kW";"29641"
"Beesel";"Productie van zonnestroom";"mln kWh";"."
"Berg en Dal";"Installaties";"aantal";"7375"
"Berg en Dal";"Opgesteld vermogen van zonnepanelen";"kWp";"38952"
"Berg en Dal";"Opgesteld vermogen omvormers";"kW";"35453"
"Berg en Dal";"Productie van zonnestroom";"mln kWh";"."
"Bergeijk";"Installaties";"aantal";"4241"
"Bergeijk";"Opgesteld vermogen van zonnepanelen";"kWp";"43254"
"Bergeijk";"Opgesteld vermogen omvormers";"kW";"38903"
"Bergeijk";"Productie van zonnestroom";"mln kWh";"."
"Bergen (L.)";"Installaties";"aantal";"3417"
"Bergen (L.)";"Opgesteld vermogen van zonnepanelen";"kWp";"24036"
"Bergen (L.)";"Opgesteld vermogen omvormers";"kW";"21706"
"Bergen (L.)";"Productie van zonnestroom";"mln kWh";"."
"Bergen (NH.)";"Installaties";"aantal";"7547"
"Bergen (NH.)";"Opgesteld vermogen van zonnepanelen";"kWp";"37104"
"Bergen (NH.)";"Opgesteld vermogen omvormers";"kW";"34509"
"Bergen (NH.)";"Productie van zonnestroom";"mln kWh";"."
"Bergen op Zoom";"Installaties";"aantal";"12655"
"Bergen op Zoom";"Opgesteld vermogen van zonnepanelen";"kWp";"80468"
"Bergen op Zoom";"Opgesteld vermogen omvormers";"kW";"70147"
"Bergen op Zoom";"Productie van zonnestroom";"mln kWh";"."
"Berkelland";"Installaties";"aantal";"9670"
"Berkelland";"Opgesteld vermogen van zonnepanelen";"kWp";"172558"
"Berkelland";"Opgesteld vermogen omvormers";"kW";"138135"
"Berkelland";"Productie van zonnestroom";"mln kWh";"."
"Bernheze";"Installaties";"aantal";"7511"
"Bernheze";"Opgesteld vermogen van zonnepanelen";"kWp";"74443"
"Bernheze";"Opgesteld vermogen omvormers";"kW";"66084"
"Bernheze";"Productie van zonnestroom";"mln kWh";"."
"Best";"Installaties";"aantal";"6944"
"Best";"Opgesteld vermogen van zonnepanelen";"kWp";"55445"
"Best";"Opgesteld vermogen omvormers";"kW";"48453"
"Best";"Productie van zonnestroom";"mln kWh";"."
"Beuningen";"Installaties";"aantal";"5602"
"Beuningen";"Opgesteld vermogen van zonnepanelen";"kWp";"84942"
"Beuningen";"Opgesteld vermogen omvormers";"kW";"65413"
"Beuningen";"Productie van zonnestroom";"mln kWh";"."
"Beverwijk";"Installaties";"aantal";"5883"
"Beverwijk";"Opgesteld vermogen van zonnepanelen";"kWp";"26310"
"Beverwijk";"Opgesteld vermogen omvormers";"kW";"24146"
"Beverwijk";"Productie van zonnestroom";"mln kWh";"."
"De Bilt";"Installaties";"aantal";"5966"
"De Bilt";"Opgesteld vermogen van zonnepanelen";"kWp";"32798"
"De Bilt";"Opgesteld vermogen omvormers";"kW";"29553"
"De Bilt";"Productie van zonnestroom";"mln kWh";"."
"Bladel";"Installaties";"aantal";"4457"
"Bladel";"Opgesteld vermogen van zonnepanelen";"kWp";"50963"
"Bladel";"Opgesteld vermogen omvormers";"kW";"43038"
"Bladel";"Productie van zonnestroom";"mln kWh";"."
"Blaricum";"Installaties";"aantal";"1910"
"Blaricum";"Opgesteld vermogen van zonnepanelen";"kWp";"8854"
"Blaricum";"Opgesteld vermogen omvormers";"kW";"7985"
"Blaricum";"Productie van zonnestroom";"mln kWh";"."
"Bloemendaal";"Installaties";"aantal";"3047"
"Bloemendaal";"Opgesteld vermogen van zonnepanelen";"kWp";"15968"
"Bloemendaal";"Opgesteld vermogen omvormers";"kW";"13977"
"Bloemendaal";"Productie van zonnestroom";"mln kWh";"."
"Bodegraven-Reeuwijk";"Installaties";"aantal";"7705"
"Bodegraven-Reeuwijk";"Opgesteld vermogen van zonnepanelen";"kWp";"97954"
"Bodegraven-Reeuwijk";"Opgesteld vermogen omvormers";"kW";"88449"
"Bodegraven-Reeuwijk";"Productie van zonnestroom";"mln kWh";"."
"Boekel";"Installaties";"aantal";"2570"
"Boekel";"Opgesteld vermogen van zonnepanelen";"kWp";"41674"
"Boekel";"Opgesteld vermogen omvormers";"kW";"34122"
"Boekel";"Productie van zonnestroom";"mln kWh";"."
"Borger-Odoorn";"Installaties";"aantal";"6902"
"Borger-Odoorn";"Opgesteld vermogen van zonnepanelen";"kWp";"336719"
"Borger-Odoorn";"Opgesteld vermogen omvormers";"kW";"313106"
"Borger-Odoorn";"Productie van zonnestroom";"mln kWh";"."
"Borne";"Installaties";"aantal";"5594"
"Borne";"Opgesteld vermogen van zonnepanelen";"kWp";"30237"
"Borne";"Opgesteld vermogen omvormers";"kW";"27895"
"Borne";"Productie van zonnestroom";"mln kWh";"."
"Borsele";"Installaties";"aantal";"6537"
"Borsele";"Opgesteld vermogen van zonnepanelen";"kWp";"129728"
"Borsele";"Opgesteld vermogen omvormers";"kW";"102880"
"Borsele";"Productie van zonnestroom";"mln kWh";"."
"Boxmeer";"Installaties";"aantal";""
"Boxmeer";"Opgesteld vermogen van zonnepanelen";"kWp";""
"Boxmeer";"Opgesteld vermogen omvormers";"kW";""
"Boxmeer";"Productie van zonnestroom";"mln kWh";""
"Boxtel";"Installaties";"aantal";"6709"
"Boxtel";"Opgesteld vermogen van zonnepanelen";"kWp";"45064"
"Boxtel";"Opgesteld vermogen omvormers";"kW";"41132"
"Boxtel";"Productie van zonnestroom";"mln kWh";"."
"Breda";"Installaties";"aantal";"23404"
"Breda";"Opgesteld vermogen van zonnepanelen";"kWp";"189565"
"Breda";"Opgesteld vermogen omvormers";"kW";"159545"
"Breda";"Productie van zonnestroom";"mln kWh";"."
"Brielle";"Installaties";"aantal";""
"Brielle";"Opgesteld vermogen van zonnepanelen";"kWp";""
"Brielle";"Opgesteld vermogen omvormers";"kW";""
"Brielle";"Productie van zonnestroom";"mln kWh";""
"Bronckhorst";"Installaties";"aantal";"8088"
"Bronckhorst";"Opgesteld vermogen van zonnepanelen";"kWp";"72551"
"Bronckhorst";"Opgesteld vermogen omvormers";"kW";"64344"
"Bronckhorst";"Productie van zonnestroom";"mln kWh";"."
"Brummen";"Installaties";"aantal";"5380"
"Brummen";"Opgesteld vermogen van zonnepanelen";"kWp";"43931"
"Brummen";"Opgesteld vermogen omvormers";"kW";"38806"
"Brummen";"Productie van zonnestroom";"mln kWh";"."
"Brunssum";"Installaties";"aantal";"4644"
"Brunssum";"Opgesteld vermogen van zonnepanelen";"kWp";"21033"
"Brunssum";"Opgesteld vermogen omvormers";"kW";"19851"
"Brunssum";"Productie van zonnestroom";"mln kWh";"."
"Bunnik";"Installaties";"aantal";"3683"
"Bunnik";"Opgesteld vermogen van zonnepanelen";"kWp";"47436"
"Bunnik";"Opgesteld vermogen omvormers";"kW";"39227"
"Bunnik";"Productie van zonnestroom";"mln kWh";"."
"Bunschoten";"Installaties";"aantal";"3999"
"Bunschoten";"Opgesteld vermogen van zonnepanelen";"kWp";"36890"
"Bunschoten";"Opgesteld vermogen omvormers";"kW";"30747"
"Bunschoten";"Productie van zonnestroom";"mln kWh";"."
"Buren";"Installaties";"aantal";"6322"
"Buren";"Opgesteld vermogen van zonnepanelen";"kWp";"52813"
"Buren";"Opgesteld vermogen omvormers";"kW";"47178"
"Buren";"Productie van zonnestroom";"mln kWh";"."
"Capelle aan den IJssel";"Installaties";"aantal";"6713"
"Capelle aan den IJssel";"Opgesteld vermogen van zonnepanelen";"kWp";"32103"
"Capelle aan den IJssel";"Opgesteld vermogen omvormers";"kW";"28771"
"Capelle aan den IJssel";"Productie van zonnestroom";"mln kWh";"."
"Castricum";"Installaties";"aantal";"9063"
"Castricum";"Opgesteld vermogen van zonnepanelen";"kWp";"35101"
"Castricum";"Opgesteld vermogen omvormers";"kW";"33073"
"Castricum";"Productie van zonnestroom";"mln kWh";"."
"Coevorden";"Installaties";"aantal";"9340"
"Coevorden";"Opgesteld vermogen van zonnepanelen";"kWp";"233276"
"Coevorden";"Opgesteld vermogen omvormers";"kW";"194069"
"Coevorden";"Productie van zonnestroom";"mln kWh";"."
"Cranendonck";"Installaties";"aantal";"4909"
"Cranendonck";"Opgesteld vermogen van zonnepanelen";"kWp";"86730"
"Cranendonck";"Opgesteld vermogen omvormers";"kW";"71087"
"Cranendonck";"Productie van zonnestroom";"mln kWh";"."
"Cuijk";"Installaties";"aantal";""
"Cuijk";"Opgesteld vermogen van zonnepanelen";"kWp";""
"Cuijk";"Opgesteld vermogen omvormers";"kW";""
"Cuijk";"Productie van zonnestroom";"mln kWh";""
"Culemborg";"Installaties";"aantal";"6082"
