,Regio's,Perioden,Installaties (aantal),Opgesteld vermogen van zonnepanelen (kW)
104,Goes,2023 tot en met Q2*,8609.0,52045.0
105,Goirle,2023 tot en met Q2*,3766.0,28177.0
106,Gooise Meren,2023 tot en met Q2*,5930.0,27885.0
107,Gorinchem,2023 tot en met Q2*,5301.0,31462.0
108,Gouda,2023 tot en met Q2*,8879.0,38317.0
109,Grave,2023 tot en met Q2*,,
110,'s-Gravenhage (gemeente),2023 tot en met Q2*,29646.0,128717.0
111,Groningen (gemeente),2023 tot en met Q2*,33873.0,224219.0
112,Gulpen-Wittem,2023 tot en met Q2*,2549.0,15424.0
113,Haaksbergen,2023 tot en met Q2*,4649.0,36034.0
114,Haaren,2023 tot en met Q2*,,
115,Haarlem,2023 tot en met Q2*,13878.0,57015.0
116,Haarlemmermeer,2023 tot en met Q2*,24152.0,188532.0
117,Halderberge,2023 tot en met Q2*,5507.0,57086.0
118,Hardenberg,2023 tot en met Q2*,11713.0,155518.0
119,Harderwijk,2023 tot en met Q2*,7235.0,47222.0
120,Hardinxveld-Giessendam,2023 tot en met Q2*,3709.0,20627.0
121,Harlingen,2023 tot en met Q2*,4153.0,25433.0
122,Hattem,2023 tot en met Q2*,1966.0,9933.0
123,Heemskerk,2023 tot en met Q2*,6033.0,26067.0
124,Heemstede,2023 tot en met Q2*,3522.0,15218.0
125,Heerde,2023 tot en met Q2*,3399.0,20694.0
126,Heerenveen,2023 tot en met Q2*,9570.0,106068.0
127,Heerhugowaard,2023 tot en met Q2*,,
128,Heerlen,2023 tot en met Q2*,10657.0,65663.0
129,Heeze-Leende,2023 tot en met Q2*,3710.0,33719.0
130,Heiloo,2023 tot en met Q2*,5662.0,22008.0
131,Den Helder,2023 tot en met Q2*,10571.0,78436.0
132,Hellendoorn,2023 tot en met Q2*,6920.0,50992.0
133,Hellevoetsluis,2023 tot en met Q2*,,
134,Helmond,2023 tot en met Q2*,14650.0,79888.0
135,Hendrik-Ido-Ambacht,2023 tot en met Q2*,5144.0,22162.0
136,Hengelo (O.),2023 tot en met Q2*,11816.0,80775.0
137,'s-Hertogenbosch,2023 tot en met Q2*,23214.0,158202.0
138,Heumen,2023 tot en met Q2*,3554.0,19424.0
139,Heusden,2023 tot en met Q2*,7645.0,68247.0
140,Hillegom,2023 tot en met Q2*,3475.0,21175.0
141,Hilvarenbeek,2023 tot en met Q2*,2851.0,38692.0
142,Hilversum,2023 tot en met Q2*,8926.0,37297.0
143,Hoeksche Waard,2023 tot en met Q2*,17464.0,127080.0
144,Hof van Twente,2023 tot en met Q2*,7137.0,103173.0
145,Het Hogeland,2023 tot en met Q2*,11676.0,131888.0
146,Hollands Kroon,2023 tot en met Q2*,10139.0,180150.0
147,Hoogeveen,2023 tot en met Q2*,10912.0,218812.0
148,Hoorn,2023 tot en met Q2*,10974.0,49752.0
149,Horst aan de Maas,2023 tot en met Q2*,10476.0,126346.0
150,Houten,2023 tot en met Q2*,9323.0,81431.0
151,Huizen,2023 tot en met Q2*,6704.0,26140.0
152,Hulst,2023 tot en met Q2*,7172.0,40309.0
153,IJsselstein,2023 tot en met Q2*,4983.0,24142.0
154,Kaag en Braassem,2023 tot en met Q2*,5976.0,33281.0
155,Kampen,2023 tot en met Q2*,9039.0,82707.0
156,Kapelle,2023 tot en met Q2*,3252.0,20801.0
157,Katwijk,2023 tot en met Q2*,7937.0,41266.0
158,Kerkrade,2023 tot en met Q2*,8330.0,57954.0
159,Koggenland,2023 tot en met Q2*,4746.0,37343.0
160,Krimpen aan den IJssel,2023 tot en met Q2*,3935.0,18532.0
161,Krimpenerwaard,2023 tot en met Q2*,9841.0,61577.0
162,Laarbeek,2023 tot en met Q2*,4718.0,52392.0
163,Land van Cuijk,2023 tot en met Q2*,17768.0,183242.0
164,Landerd,2023 tot en met Q2*,,
165,Landgraaf,2023 tot en met Q2*,7105.0,46835.0
166,Landsmeer,2023 tot en met Q2*,1667.0,8162.0
167,Langedijk,2023 tot en met Q2*,,
168,Lansingerland,2023 tot en met Q2*,12770.0,124494.0
169,Laren (NH.),2023 tot en met Q2*,860.0,4617.0
170,Leeuwarden,2023 tot en met Q2*,21133.0,162644.0
171,Leiden,2023 tot en met Q2*,9873.0,39939.0
172,Leiderdorp,2023 tot en met Q2*,3413.0,13927.0
173,Leidschendam-Voorburg,2023 tot en met Q2*,6264.0,26005.0
174,Lelystad,2023 tot en met Q2*,14460.0,271376.0
175,Leudal,2023 tot en met Q2*,8194.0,77095.0
176,Leusden,2023 tot en met Q2*,6262.0,36081.0
177,Lingewaard,2023 tot en met Q2*,10377.0,78797.0
178,Lisse,2023 tot en met Q2*,4454.0,19162.0
179,Lochem,2023 tot en met Q2*,6575.0,107095.0
180,Loon op Zand,2023 tot en met Q2*,3769.0,27798.0
181,Lopik,2023 tot en met Q2*,2637.0,22560.0
182,Loppersum,2023 tot en met Q2*,,
183,Losser,2023 tot en met Q2*,4617.0,59970.0
184,Maasdriel,2023 tot en met Q2*,5614.0,42225.0
185,Maasgouw,2023 tot en met Q2*,6059.0,31139.0
186,Maashorst,2023 tot en met Q2*,12750.0,105737.0
187,Maassluis,2023 tot en met Q2*,3799.0,16954.0
188,Maastricht,2023 tot en met Q2*,12802.0,83219.0
189,Medemblik,2023 tot en met Q2*,9833.0,116082.0
190,Meerssen,2023 tot en met Q2*,3941.0,21284.0
191,Meierijstad,2023 tot en met Q2*,17097.0,186529.0
192,Meppel,2023 tot en met Q2*,6035.0,32272.0
193,Middelburg (Z.),2023 tot en met Q2*,9063.0,54445.0
194,Midden-Delfland,2023 tot en met Q2*,3741.0,33231.0
195,Midden-Drenthe,2023 tot en met Q2*,8717.0,94954.0
196,Midden-Groningen,2023 tot en met Q2*,14944.0,312714.0
197,Mill en Sint Hubert,2023 tot en met Q2*,,
198,Moerdijk,2023 tot en met Q2*,6925.0,125428.0
199,Molenlanden,2023 tot en met Q2*,7714.0,66095.0
200,Montferland,2023 tot en met Q2*,8984.0,62451.0
201,Montfoort,2023 tot en met Q2*,2612.0,24830.0
202,Mook en Middelaar,2023 tot en met Q2*,1850.0,9230.0
203,Neder-Betuwe,2023 tot en met Q2*,4354.0,67239.0
204,Nederweert,2023 tot en met Q2*,3960.0,52280.0
205,Nieuwegein,2023 tot en met Q2*,9099.0,68292.0
206,Nieuwkoop,2023 tot en met Q2*,4660.0,31522.0
207,Nijkerk,2023 tot en met Q2*,7960.0,62061.0
208,Nijmegen,2023 tot en met Q2*,21987.0,108554.0
209,Nissewaard,2023 tot en met Q2*,13311.0,52245.0
210,Noardeast-Fryslân,2023 tot en met Q2*,10097.0,70382.0
211,Noord-Beveland,2023 tot en met Q2*,2638.0,17620.0
212,Noordenveld,2023 tot en met Q2*,7769.0,93180.0
213,Noordoostpolder,2023 tot en met Q2*,9735.0,178371.0
214,Noordwijk,2023 tot en met Q2*,7067.0,40993.0
215,"Nuenen, Gerwen en Nederwetten",2023 tot en met Q2*,4782.0,31939.0
216,Nunspeet,2023 tot en met Q2*,3947.0,26950.0
217,Oegstgeest,2023 tot en met Q2*,3711.0,17381.0
218,Oirschot,2023 tot en met Q2*,3325.0,41804.0
219,Oisterwijk,2023 tot en met Q2*,4942.0,44121.0
220,Oldambt,2023 tot en met Q2*,8804.0,73272.0
221,Oldebroek,2023 tot en met Q2*,4115.0,33374.0
222,Oldenzaal,2023 tot en met Q2*,5849.0,48838.0
223,Olst-Wijhe,2023 tot en met Q2*,4352.0,39698.0
224,Ommen,2023 tot en met Q2*,3641.0,36218.0
225,Oost Gelre,2023 tot en met Q2*,5809.0,55723.0
226,Oosterhout,2023 tot en met Q2*,8914.0,70532.0
227,Ooststellingwerf,2023 tot en met Q2*,6803.0,121814.0
228,Oostzaan,2023 tot en met Q2*,1378.0,9108.0
229,Opmeer,2023 tot en met Q2*,2352.0,18798.0
230,Opsterland,2023 tot en met Q2*,5728.0,74293.0
231,Oss,2023 tot en met Q2*,17208.0,134207.0
232,Oude IJsselstreek,2023 tot en met Q2*,7798.0,66494.0
233,Ouder-Amstel,2023 tot en met Q2*,1877.0,11318.0
234,Oudewater,2023 tot en met Q2*,1789.0,13485.0
235,Overbetuwe,2023 tot en met Q2*,8854.0,108626.0
236,Papendrecht,2023 tot en met Q2*,3968.0,19237.0
237,Peel en Maas,2023 tot en met Q2*,10898.0,121038.0
238,Pekela,2023 tot en met Q2*,2386.0,99773.0
239,Pijnacker-Nootdorp,2023 tot en met Q2*,10760.0,56789.0
240,Purmerend,2023 tot en met Q2*,11426.0,61641.0
241,Putten,2023 tot en met Q2*,3787.0,37011.0
242,Raalte,2023 tot en met Q2*,8990.0,74380.0
243,Reimerswaal,2023 tot en met Q2*,4901.0,60373.0
244,Renkum,2023 tot en met Q2*,4409.0,21505.0
245,Renswoude,2023 tot en met Q2*,1101.0,11922.0
246,Reusel-De Mierden,2023 tot en met Q2*,2660.0,39809.0
247,Rheden,2023 tot en met Q2*,5750.0,33635.0
248,Rhenen,2023 tot en met Q2*,3737.0,22036.0
249,Ridderkerk,2023 tot en met Q2*,6083.0,42448.0
